id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
1484,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOB2501-1,food bank site,Noble Towers,2440 Baldwick Road,Pittsburgh,PA,15205,Allegheny,NA,NA,NA,40.4273583,-80.0599617,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1485,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR2539-1,food bank site,North Beaver Food Pantry,861 Mt. Jackson Rd.,New Castle,PA,16102,Lawrence,NA,NA,NA,40.9578449,-80.4223018,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1486,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR2495-1,food bank site,North Boros/Sewickley Area Meals on Wheels,28 Pittsburgh St.,Emsworth,PA,15202-1730,Allegheny,NA,NA,NA,40.5117924,-80.0900659,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1487,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1145-1,food bank site,North Hills Community Outreach Loaves & Fishes,1975 Ferguson Road,Allison Park,PA,15101,Allegheny,NA,NA,NA,40.5637574,-79.989011,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1488,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1145-4,food bank site,North Hills Community Outreach Millvale Food Cupboard,416 Lincoln Avenue,Millvale,PA,15209,Allegheny,NA,NA,NA,40.4809878,-79.972697,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1489,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1145-2,food bank site,North Hills Community Outreach North Borough,"100 S. Jackson Avenue, AGH Suburban Campus, 2 South",Bellevue,PA,15202,Allegheny,NA,NA,NA,40.4949196,-80.0605424,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1490,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1145-5,food bank site,North Hills Community Outreach North Borough- Senior Boxes,1975 Ferguson Road,Allison Park,PA,15101,Allegheny,NA,NA,NA,40.5637574,-79.989011,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1491,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1011-1,food bank site,North Hills Food Pantry,845 Perry Highway,West View,PA,15229,Allegheny,NA,NA,NA,40.5309486,-80.0366398,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1492,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR2532-1,food bank site,North Side Christian Health Center,816 Middle Street,Pittsburgh,PA,15212,Allegheny,NA,NA,NA,40.4551883,-79.9993854,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1493,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1229-1,food bank site,North Way Christian Community,12121 Perry Highway,Wexford,PA,15090,Allegheny,NA,NA,NA,40.6337034,-80.0623982,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1494,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR2485-1,food bank site,Northside Coalition For Fair Housing,1821 Brighton Rd,Pittsburgh,PA,15212,Allegheny,NA,NA,NA,40.4601032,-80.0181873,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1495,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNSI2311-1,food bank site,Northside Coalition Senior Housing,1500 Brighton Place,Pittsburgh,PA,15212,Allegheny,NA,NA,NA,40.4565399,-80.016281,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
1496,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1012-1,food bank site,Northside Common Ministries,1601 Brighton Road,Pittsburgh,PA,15212,Allegheny,NA,NA,NA,40.4580706,-80.0163311,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,1,0,1,NA,NA
1497,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PNOR1012-2,food bank site,Northside Common Ministries - Pleasant Valley Shelter,1601 Brighton Road,Pittsburgh,PA,15212,Allegheny,NA,NA,NA,40.4580706,-80.0163311,Greater Pittsburgh Community Food Bank,NA,NA,0,0,0,0,0,1,NA,NA
