,file_name,id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
1547,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1548,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2173-1,food bank site,Produce to People - Cambria - Johnstown,"445 Schoolhouse Rd., Greater Johnstown Career & Technology Center",Johnstown,PA,15904,Cambria,,,,40.2726524,-78.8311827,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1548,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1549,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2149-5,food bank site,Produce to People - Duquesne,"1 North Linden Street, Greater Pittsburgh Community Food Bank",Duquesne,PA,15110,Allegheny,,,,40.375704999999996,-79.842324,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1549,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1550,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2332-1,food bank site,Produce to People - Fayette County,"132 Pechin Rd., Fayette County Fairgrounds",Dunbar,PA,15431,Fayette,,,,39.9679463,-79.64180970000001,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1550,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1551,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2174-1,food bank site,Produce to People - Greene County,"107 Fairgrounds Rd., Greene County Fairgrounds",Waynesburg,PA,15370,Greene,,,,39.8995453,-80.15604609999998,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1551,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1552,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2149-2,food bank site,Produce to People - Homewood,"7140 Bennett Street, Homewood Brushton Ymca",Pittsburgh,PA,15208,Allegheny,,,,40.4565339,-79.89827170000001,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1552,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1553,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2149-3,food bank site,Produce to People - McKeesport,"1960 Eden Park Boulevard, Founders Hall Middle School",McKeesport,PA,15132,Allegheny,,,,40.3436634,-79.83117990000001,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1553,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1554,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2171-1,food bank site,Produce to People - New Castle,"915 South Jefferson St., St. Vitus School",New Castle,PA,16101,Lawrence,,,,40.9904632,-80.346601,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1554,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1555,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2149-6,food bank site,Produce to People - Northside,"50 Montgomery Place, Martin Luther King Jr. Elementary School",Pittsburgh,PA,15212,Allegheny,,,,40.45466079999999,-80.0047559,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1555,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1556,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2149-7,food bank site,Produce to People - Sheraden,"2940 Sheraden Blvd., Pittsburgh Langley K-8 Cafeteria",Pittsburgh,PA,15204,Allegheny,,,,40.454376,-80.05519579999999,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
1556,food-data/Cleaned_data_files/greater_pittsburgh_community_food_bank.csv,1557,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,GPRO2149-4,food bank site,Produce to People - Southside,"2000 Mary Street, Upmc South Side Hospital",Pittsburgh,PA,15203,Allegheny,,,,40.425787899999996,-79.9776078,Greater Pittsburgh Community Food Bank,,,0.0,0.0,0.0,1.0,0.0,1,,
