"X","file_name","id","source_org","source_file","original_id","type","name","address","city","state","zip_code","county","location_description","phone","url","latitude","longitude","latlng_source","date_from","date_to","SNAP","WIC","FMNP","fresh_produce","food_bucks","free_distribution","open_to_spec_group","data_issues","group_by_cluster","group_id","fuzzy_group_within_cluster","merged_record"
270,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","271","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","31928","convenience store","Sheetz 678","973 William Flynn Highway","Glenshaw","PA",15116,"ALLEGHENY","","","",40.513885,-79.952347,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
272,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","273","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","32651","","One Stop Mini Mart","751 E Warrington Avenue","Pittsburgh","PA",15210,"ALLEGHENY","","","",40.421852,-79.994423,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",9,NA,NA,"0"
273,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","274","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","33165","","Rojels Foods LLC/ Bethel Park Shop N Save","5001 Library Road","Bethel Park","PA",15102,"ALLEGHENY","","","",40.342155,-80.025978,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",273,NA,NA,"0"
274,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","275","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","33699","","Stop N Shop","2101 Freeport Road","Natrona Heights","PA",15065,"ALLEGHENY","","","",40.627029,-79.721565,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
275,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","276","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","34282","convenience store","CVS Pharmacy 4008","242 Fifth Avenue","Pittsburgh","PA",15222,"ALLEGHENY","","","",40.440914,-80.000961,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
276,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","277","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","34283","convenience store","CVS Pharmacy 4085","6100 Penn Avenue","Pittsburgh","PA",15206,"ALLEGHENY","","","",40.461014,-79.923668,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",276,NA,NA,"0"
277,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","278","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","34284","convenience store","CVS Pharmacy 4133","520 Penn Avenue","Wilkinsburg","PA",15221,"ALLEGHENY","","","",40.444298,-79.886826,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
278,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","279","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","34484","","PENN HILLS SHOP N SAVE","2820 Main Street","Pittsburgh","PA",15235,"ALLEGHENY","","","",40.475769,-79.78627,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
279,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","280","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","34606","convenience store","Rite Aid 10936","519 Penn Avenue","Pittsburgh","PA",15222,"ALLEGHENY","","","",40.442417,-80.003326,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
280,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","281","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","34611","convenience store","Rite Aid 10910","4927 Homeville Road","West Mifflin","PA",15122,"ALLEGHENY","","","",40.381924,-79.87751,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
