id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,52nd Street Market,601 52nd Street,Pittsburgh,PA,15201,Allegheny,,,,,,,,,,,,1,,0,,
,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Perry's Honeydripper,7006 Frankstown Ave.,Pittsburgh,PA,15208,Allegheny,,,,,,,,,,,,1,,0,,
,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Dylamatos,5414 Second Ave.,Pittsburgh,PA,15207,Allegheny,,,,,,,,,,,,1,,0,,
,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Butcher on Butler,5145 Butler St,Pittsburgh,PA,15201,Allegheny,,,,,,,,,,,,1,,0,,
,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Gluten Free Goat,4905 Penn Ave.,Pittsburgh,PA,15224,Allegheny,,,,,,,,,,,,1,,0,,
,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,LA Market,511 Larimer Ave.,Pittsburgh,PA,15206,Allegheny,,,,,,,,,,,,1,,0,,
,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Day La Soul,829-831 E. Warrington Ave,Pittsburgh,PA,15210,Allegheny,,,,,,,,,,,,1,,0,,
