id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,USDA,PA.xlsx,NA,NA,Rite Aid 10956,1121 Bower Hill Rd,Pittsburgh,PA,15243,ALLEGHENY,NA,NA,NA,40.375484,-80.069183,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,A & M MARKET,5224 Penn Ave,Pittsburgh,PA,15224,ALLEGHENY,NA,NA,NA,40.464508,-79.93898,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,ROCHESTER ROAD SHOP AND SAVE,84 Rochester Rd,Pittsburgh,PA,15229,ALLEGHENY,NA,NA,NA,40.521076,-80.026154,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Dollar General #8549,425 Perry Hwy,West View,PA,15229,ALLEGHENY,NA,NA,NA,40.519135,-80.03228,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,"Super Stop Convenience Store, Inc.",430 Kenmawr Ave,Rankin,PA,15104,ALLEGHENY,NA,NA,NA,40.41177,-79.876472,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Getgo 3487,801 Mount Royal Blvd,Pittsburgh,PA,15223,ALLEGHENY,NA,NA,NA,40.514282,-79.959183,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Getgo 3488,5603 Babcock Blvd,Pittsburgh,PA,15237,ALLEGHENY,NA,NA,NA,40.54697,-80.028976,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Get Go 3476,800 Allegheny River Blvd,Verona,PA,15147,ALLEGHENY,NA,NA,NA,40.506878,-79.842865,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Getgo 3616,3601 Saw Mill Run Blvd,Pittsburgh,PA,15227,ALLEGHENY,NA,NA,NA,40.372643,-79.981911,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Target Store 1253,360 E WATERFORD DR,Homestead,PA,15120,ALLEGHENY,NA,NA,NA,40.403133,-79.906471,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Target Store 1217,600 Chauvet Dr,Pittsburgh,PA,15275,ALLEGHENY,NA,NA,NA,40.447014,-80.182732,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Target Store 1218,9805 MCKNIGHT RD 2,Pittsburgh,PA,15237,ALLEGHENY,NA,NA,NA,40.585663,-80.036606,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Target Store 1219,4004 Monroeville Blvd,Monroeville,PA,15146,ALLEGHENY,NA,NA,NA,40.435696,-79.770859,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Dollar General 10203,315 Cochran Rd,Pittsburgh,PA,15228,ALLEGHENY,NA,NA,NA,40.381538,-80.052536,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Dollar General #8103,75 Noble Ave,Crafton,PA,15205,ALLEGHENY,NA,NA,NA,40.433815,-80.066353,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
