id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
1041,Schiller's Pharmacy,811,S Aiken Ave,Pittsburgh,PA,15232,Pittsburgh-107,115,Packaged Food Only,2,6/17/84,6/17/84,0,,100,1,1,-79.93525392,40.45057143,811 S Aiken Ave Pittsburgh PA 15232
1046,Elizabeth Pharmacy,5041,2nd  Ave,Pittsburgh,PA,15207,Pittsburgh-115,115,Packaged Food Only,2,10/6/68,10/6/68,0,,400,1,1,-79.94311596,40.40725182,5041 2nd  Ave Pittsburgh PA 15207
1128,Blackburn's Physicians Pharmacy,301,Corbet Street,Tarentum,PA,15084,Tarentum,115,Packaged Food Only,2,1/1/80,1/1/80,0,,100,1,1,-79.75196353,40.60178797,301 Corbet Street Tarentum PA 15084
1134,Wilson's Pharmacy,4101,Penn  Avenue,Pittsburgh,PA,15224,Pittsburgh-109,115,Packaged Food Only,2,1/1/57,1/1/57,0,,130,1,1,-79.95521665,40.46587982,4101 Penn  Avenue Pittsburgh PA 15224
1200,Newsland,824,E Pittsburgh Pz,East Pittsburgh,PA,15112,East Pittsburgh,115,Packaged Food Only,1,11/28/68,11/28/68,0,,120,1,1,,,824 E Pittsburgh Pz East Pittsburgh PA 15112
1249,Pollak's Candies,36,Prospect Street,Pittsburgh,PA,15223,Etna,172,Food Processor,2,6/17/84,6/17/84,0,,2020,1,1,-79.94613858,40.49608511,36 Prospect Street Pittsburgh PA 15223
1394,Blooms Cut-Rate,2716,5th Ave,Mc Keesport,PA,15132,McKeesport,115,Packaged Food Only,2,6/17/84,6/17/84,0,,1000,1,1,-79.83257687,40.35703989,2716 5th Ave Mc Keesport PA 15132
1406,Daniels Variety,5724,Curry Rd,Pittsburgh,PA,15236,South Park,115,Packaged Food Only,2,6/17/84,6/17/84,0,,1000,1,1,-79.98848412,40.32938798,5724 Curry Rd Pittsburgh PA 15236
1484,Eisenstat Candy Co,112,St Joseph St,Pittsburgh,PA,15210,Mt Oliver,151,Warehouse,2,1/1/69,1/1/69,0,,13000,1,1,,,112 St Joseph St Pittsburgh PA 15210
1510,Stamoolis Brothers,2020,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,113,Retail/Convenience Store,1,6/17/84,6/17/84,0,,8500,1,1,-79.98333234,40.45124636,2020 Penn Avenue Pittsburgh PA 15222
1511,Pennsylvania Macaroni Co,2010,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,152,Refrigerated Warehouse,1,6/17/84,6/17/84,0,,7500,1,1,-79.98349507,40.45113476,2010 Penn Avenue Pittsburgh PA 15222
1524,Commonwealth Warehouse & Storage,123,36th St,Pittsburgh,PA,15201,Pittsburgh-106,151,Warehouse,2,1/1/74,1/1/74,0,,18000,7,1,-79.96698005,40.46707251,123 36th St Pittsburgh PA 15201
1530,Stover & Co,1101,Russellton  Road,Cheswick,PA,15024,Harmar,151,Warehouse,2,9/1/69,9/1/69,0,,30000,1,1,-79.82072184,40.55888974,1101 Russellton  Road Cheswick PA 15024
1531,M Maskas & Sons,142,7th Avenue,Tarentum,PA,15084,Tarentum,151,Warehouse,2,1/1/63,1/1/63,0,,6500,1,1,,,142 7th Avenue Tarentum PA 15084
1546,McKeesport Candy Co,1101,5th Ave,Mc Keesport,PA,15132,McKeesport,151,Warehouse,1,1/1/35,1/1/35,0,,8000,1,1,-79.85380189,40.35214056,1101 5th Ave Mc Keesport PA 15132
