id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Green Grocer (5 Generation Bakers),Farmers Market,1100 Chartiers Avenue,NA,NA,McKees Rocks,PA,15136,NA,June,November,12:00 PM,1:00 PM,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,40.4656224,-80.06817674,NA,NA
NA,Green Grocer (A Childs World Day Care Center),Farmers Market,300 Rankin Blvd.,NA,NA,Rankin,PA,15104,NA,June,November,4:30 PM,5:30 PM,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,40.4123638,-79.88131958,NA,NA
NA,Green Grocer (Alma Illery Medical Center),Farmers Market,7227 Hamilton Avenue,NA,NA,Pittsburgh,PA,15208,NA,June,November,11:30 AM,12:30 PM,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,40.45459163,-79.89621363,NA,NA
NA,Aspinwall Flea Market,Farmers Market,250 Freeport Road,NA,NA,Pittsburgh,PA,15215,Municipal parking lot,NA,NA,7:00 AM,1:00 PM,NA,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,40.48975482,-79.90451748,NA,NA
NA,Bachman’s Greenhouse and Nursery,Farmers Market,2903 Freeport Road,NA,NA,Natrona Heights,PA,15065,NA,June,November,9:00 AM,7:00 PM,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,40.63929352,-79.71123791,NA,NA
NA,Bachman’s Greenhouse and Nursery,Farmers Market,Ekastown Road,NA,NA,Natrona Heights,PA,15065,Route 908 & Ekastown Road,June,November,9:00 AM,7:00 PM,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,40.66720543,-79.73028478,NA,NA
NA,Beccari’s Farm Market,Farmers Market,5095 Thoms Run Road,NA,NA,Oakdale,PA,15071,NA,Saturday,Sunday 10,11:00 AM,5:30 PM,NA,NA,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,40.37395672,-80.1331257,NA,NA
NA,Beechview Farmer’s Market—Citiparks,Farmers Market,Broadway Avenue,NA,NA,Pittsburgh,PA,15216,Broadway Avenue & Beechview Avenue,June 22,September 14,4:00 pm,7:00 pm,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,40.41061949,-80.02467961,NA,NA
NA,Bethel Park Farmer’s Market,Farmers Market,Fort Couch Rd,NA,NA,Bethel Park,PA,15102,St. Thomas More church parking lot,NA,NA,3:00 PM,7:00 PM,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,40.342564,-80.052162,NA,NA
NA,Bloomfield Farmer’s Market,Farmers Market,5050 Liberty Avenue,NA,NA,Pittsburgh,PA,15224,NA,June,,9:00 AM,1:00 PM,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,40.45908043,-79.9443616,NA,NA
