id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSQU1015-1,food bank site,Squirrel Hill Community Food Pantry,828 Hazelwood Avenue,Pittsburgh,PA,15217,Allegheny,,,,40.4194768,-79.9279031,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSQU2549-1,food bank site,Squirrel Hill Health Center ,4516 Browns Hill Road,Pittsburgh ,PA,15217,Allegheny,,,,40.4169189,-79.925479,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTA2249-1,food bank site,St. Ambrose Manor,1235 Yetta Ave.,Pittsburgh,PA,15212,Allegheny,,,,40.4630911,-79.9920869,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTA2518-1,food bank site,St. Andrew Lutheran Fresh Market,304 Morewood Avenue,Pittsburgh,PA,15213,Allegheny,,,,40.4537386,-79.94454,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTA2261-1,food bank site,St. Augustine Plaza,230 36th. St.,Pittsburgh,PA,15201,Allegheny,,,,40.4648221,-79.9645287,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTB1238-1,food bank site,St. Benedict the Moor,91 Crawford Street,Pittsburgh,PA,15219,Allegheny,,,,40.4414838,-79.9860139,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTC1159-1,food bank site,St. Catherine of Siena Food Pantry,1810 Belasco Avenue,Pittsburgh,PA,15216,Allegheny,,,,40.4065916,-80.0273042,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTC1159-2,food bank site,St. Catherine of Siena Fresh Market,1810 Belasco Avenue,Pittsburgh,PA,15216,Allegheny,,,,40.4065916,-80.0273042,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTC1157-1,food bank site,St. Charles Lwanga,7114 Kelly Street,Pittsburgh,PA,15208,Allegheny,,,,40.4556903,-79.8989437,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTE1514-1,food bank site,St. Elizabeth Ann Seton ,330 Third Ave.,Carnegie,PA,15106,Allegheny,,,,40.4035528,-80.0914231,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PHOL2287-1,food bank site,St. Francis Food Pantry,107 Stevens Lane,Hollsopple,PA,15935,Somerset,,,,40.215755,-78.9439563,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSTF2505-1,food bank site,St. Francis Sharing + Caring,107 Stevens Lane,Hollsopple,PA,15935,Somerset,,,,40.215755,-78.9439563,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
