id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Sheridan Avenue Orchard,community-farm,310 Sheridan Avenue,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.463474,-79.921924,NA,NA
NA,Centre Ave YMCA Garden,community-farm|school-garden,2621 Centre Avenue,NA,NA,Pittsburgh,Pennsylvania,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.447201,-79.967894,NA,NA
NA,Allison Park Elementary Community Garden,school-garden,803 McGovern Road,NA,NA,Houston,Pennsylvania,15342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.231664,-80.226758,NA,NA
NA,Avonworth Middle School,school-garden,258 Joseph's Lane,NA,NA,Pittsburgh,Pennsylvania,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.532346,-80.078434,NA,NA
NA,Borland Green Cooperative,school-garden,5806 Black Street,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.467393,-79.924427,NA,NA
NA,Carnegie Elementary School,school-garden,301 Franklin Avenue,NA,NA,Carnegie,Pennsylvania,15106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.401334,-80.081874,NA,NA
NA,Clairton Education Center,school-garden,501 Waddell Avenue,NA,NA,Clairton,Pennsylvania,15025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.294148,-79.885294,NA,NA
NA,Colfax Elementary,school-garden,2332 Beechwood Boulevard,NA,NA,Pittsburgh,Pennsylvania,15217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.433127,-79.915417,NA,NA
NA,Community Day School of Pittsburgh,school-garden,6424 Forward Avenue,NA,NA,Pittsburgh,Pennsylvania,15217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.427442,-79.917825,NA,NA
NA,Dilworth Traditional Academy,school-garden,6200 Stanton Avenue,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.468805,-79.917808,NA,NA
