id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time,close_time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,weekday_val
NA,5 Generation Bakers—Green Grocer,Farmers Market,1100 Chartiers Avenue,NA,NA,McKees Rocks,PA,15136,NA,June,November,12:00 PM,1:00 PM,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.06817674,40.4656224,Tuesday
NA,A Child’s World Day Care Center—Green Grocer,Farmers Market,300 Rankin Blvd.,NA,NA,Rankin,PA,15104,NA,June,November,4:30 PM,5:30 PM,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-79.88131958,40.4123638,Thursday
NA,Alma Illery Medical Center—Green Grocer,Farmers Market,7227 Hamilton Avenue,NA,NA,Pittsburgh,PA,15208,NA,June,November,11:30 AM,12:30 PM,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-79.89621363,40.45459163,Friday
NA,Aspinwall Flea Market,Farmers Market,250 Freeport Road,NA,NA,Pittsburgh,PA,15215,Municipal parking lot,NA,NA,7:00 AM,1:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.90451748,40.48975482,Sunday
NA,Bachman’s Greenhouse and Nursery,Farmers Market,2903 Freeport Road,NA,NA,Natrona Heights,PA,15065,NA,June,November,9:00 AM,7:00 PM,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,-79.71123791,40.63929352,Daily
NA,Bachman’s Greenhouse and Nursery,Farmers Market,Ekastown Road,NA,NA,Natrona Heights,PA,15065,Route 908 & Ekastown Road,June,November,9:00 AM,7:00 PM,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,-79.73028478,40.66720543,Daily
NA,Beccari’s Farm Market,Farmers Market,5095 Thoms Run Road,NA,NA,Oakdale,PA,15071,NA,Saturday,Sunday 10,11:00 AM,5:30 PM,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.1331257,40.37395672,NA
NA,Beechview Farmer’s Market—Citiparks,Farmers Market,Broadway Avenue,NA,NA,Pittsburgh,PA,15216,Broadway Avenue & Beechview Avenue,June 22,September 14,4:00 pm,7:00 pm,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-80.02467961,40.41061949,Thursday
NA,Bethel Park Farmer’s Market,Farmers Market,Fort Couch Rd,NA,NA,Bethel Park,PA,15102,St. Thomas More church parking lot,NA,NA,3:00 PM,7:00 PM,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.052162,40.342564,Tuesday
NA,Bloomfield Farmer’s Market,Farmers Market,5050 Liberty Avenue,NA,NA,Pittsburgh,PA,15224,NA,June,,9:00 AM,1:00 PM,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-79.9443616,40.45908043,Saturday
NA,Braddock Farms (Grow Pittsburgh),Farmers Market,600 Braddock Avenue,NA,NA,Braddock,PA,15104,6th Street and Braddock Avenue,June,October,10:00 AM,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-79.86860108,40.40321365,Saturday
NA,Bridge’s Farm,Farmers Market,7108 Leechburg Road,NA,NA,New Kensington,PA,15068,NA,Sunday 9,00 AM,9:00 AM,6:00 PM,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,-79.76441236,40.51764948,NA
NA,Carrick Dairy District—Citiparks,Farmers Market,1529 Brownsville Road,NA,NA,Pittsburgh,PA,15210,NA,June 21,November 22,3:00 PM,7:00 PM,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-79.98864725,40.4000385,Wednesday
NA,Coraopolis Farmer’s Market,Farmers Market,1211 Fifth Avenue,NA,NA,Coraopolis,PA,15108,Presbyterian Church,NA,NA,3:30 PM,6:30 PM,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.16104998,40.51629935,Monday
NA,Dillner Family Farm,Farmers Market,4140 Sandy Hill Road,NA,NA,Gibsonia,PA,15044,NA,June,November,9:00 AM,6:00 PM,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,-79.9211482,40.66954468,Daily
NA,Duda’s Farm Market,Farmers Market,Route 51 Hayden Blvd,NA,NA,Elizabeth,PA,15037,NA,Saturday,Sunday 10,10:00 AM,6:00 PM,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.846019,40.220114,NA
NA,Duda’s Farm Market,Farmers Market,1029 Lebanon Road,NA,NA,West Mifflin,PA,15122,NA,Saturday,Sunday 10,10:00 AM,6:00 PM,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.93272592,40.36008214,NA
NA,East Liberty Farmer’s Market,Farmers Market,Penn Circle West,NA,NA,Pittsburgh,PA,15206,next to McDonald’s,June,,3:00 PM,7:00 PM,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.92639,40.464192,Monday
NA,Eichner’s Farm Market,Farmers Market,285 Richard Road,NA,NA,Wexford,PA,15090,NA,Saturday,Sunday 9,9:00 AM,6:00 PM,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.06013824,40.60783736,NA
NA,Elizabeth Farmer’s Market,Farmers Market,Water Street,NA,NA,Elizabeth,PA,15037,NA,9,00 AM,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-79.888071,40.272932,NA
NA,Etna Farmer’s Market,Farmers Market,437 Butler Street,NA,NA,Pittsburgh,PA,15223,NA,June,October,3:00 PM,6:30 PM,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-79.94405475,40.49967994,Thursday
