id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Dollar Tree 618,NA,5253 Library Rd NA,NA,NA,Bethel Park,PA,15102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.331806,-80.02282,NA,NA
NA,Rite Aid 10919,NA,4534 Broadway Blvd NA,NA,NA,Monroeville,PA,15146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.390221,-79.766037,NA,NA
NA,Giant Eagle 47,NA,100 Settlers Ridge Center Dr NA,NA,NA,Pittsburgh,PA,15205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.441887,-80.152657,NA,NA
NA,Dollar Tree 1012,NA,324 Towne Square Way NA,NA,NA,Brentwood,PA,15227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.367634,-79.982201,NA,NA
NA,Dollar Tree 4222,NA,1020 Village Center Dr NA,NA,NA,Tarentum,PA,15084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.568443,-79.80262,NA,NA
NA,Sunoco 6968,NA,600 Rodi Rd NA,NA,NA,Pittsburgh,PA,15235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.449108,-79.827255,NA,NA
NA,Sunoco 7139,NA,1020 Mount Royal Blvd NA,NA,NA,Pittsburgh,PA,15223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.516953,-79.958954,NA,NA
NA,Sunoco 7144,NA,195 N Craig St NA,NA,NA,Pittsburgh,PA,15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.449574,-79.950645,NA,NA
NA,Costco Wholesale 0332,NA,202 Costco Dr NA,NA,NA,Pittsburgh,PA,15205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.458073,-80.166626,NA,NA
NA,Costco Wholesale 0649,NA,501 Waterfront Dr W NA,NA,NA,West Homestead,PA,15120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.403896,-79.920181,NA,NA
